element_type,osmid,name,geometry,latitude,longitude
node,4834354024,Pharmacie Doukkarat صيدلية الدكارات,POINT (-5.0217359 34.0393502),34.0393502,-5.0217359
node,4841546126,Pharmacie Route de Meknès صيدلية طريق مكناس,POINT (-5.0272749 34.0395245),34.0395245,-5.0272749
node,4841769221,Pharmacie Tazi صيدلية التازي,POINT (-5.0313486 34.0397879),34.0397879,-5.0313486
node,4843629022,Pharmacie Tarik صيدلية طارق,POINT (-5.0239044 34.0281108),34.0281108,-5.0239044
node,4843833522,Pharmacie Ait Skattou صيدلية ايت سقاطو,POINT (-5.0012035 34.0260824),34.0260824,-5.0012035
node,4845395322,Pharmacie Benjelloun صيدلية بنجلون,POINT (-5.0219356 34.0268021),34.0268021,-5.0219356
node,4854006421,Pharmacie Lalla Soukaina صيدلية للاسكينة,POINT (-5.026767 34.0183664),34.0183664,-5.026767
node,4855335623,Pharmacie la Lavande صيدلية الخزامى,POINT (-5.022362 34.0335369),34.0335369,-5.022362
node,4861633424,Pharmacie du Passage صيدلية المسار,POINT (-4.9953162 34.0359013),34.0359013,-4.9953162
node,4871949522,Pharmacie Ravin صيدلية الرافان,POINT (-4.9938759 34.0345554),34.0345554,-4.9938759
node,4871952121,Pharmacie Adarissa صيدلية أدارسة,POINT (-5.0070833 34.0215149),34.0215149,-5.0070833
node,4883661122,Pharmacie Yassine صيدلية ياسين,POINT (-5.0070187 34.0158487),34.0158487,-5.0070187
node,4885602324,Pharmacie Dhar El Mehraz صيدلية ظهر المهراز,POINT (-4.9896306 34.0369664),34.0369664,-4.9896306
node,4887681622,Pharmacie Jnane El Berdai صيدلية جنان البردعي,POINT (-5.0558381 34.0349848),34.0349848,-5.0558381
node,4894589424,Pharmacie de la Gare صيدلية المحطة,POINT (-5.0066483 34.0448431),34.0448431,-5.0066483
node,4894951222,Pharmacie Hay El Anbra صيدلية حي العنبرة,POINT (-5.0352723 34.0100955),34.0100955,-5.0352723
node,4894951223,Pharmacie Saadi صيدلية السعدي,POINT (-5.0137715 34.0047517),34.0047517,-5.0137715
node,4894953823,Pharmacie Ain Amir صيدلية عين عمير,POINT (-5.004085 34.0026816),34.0026816,-5.004085
node,4897372624,Pharmacie Boulevard du Joulane صيدلية شارع الجولان,POINT (-4.9925868 34.0314245),34.0314245,-4.9925868
node,4902417424,Pharmacie Ville Nouvelle صيدلية المدينة الجديدة,POINT (-4.9980042 34.0343137),34.0343137,-4.9980042
node,4904980522,Pharmacie du Boulevard صيدلية الشارع,POINT (-4.9966699 34.0408528),34.0408528,-4.9966699
node,4913789721,Pharmacie Mariam صيدلية مريم,POINT (-5.0477063 33.9940124),33.9940124,-5.0477063
node,4916834521,Pharmacie Oum Al Banine صيدلية أم البنين,POINT (-4.9795617 34.0586789),34.0586789,-4.9795617
node,4924422021,Pharmacie Sebti صيدلية السبتي,POINT (-5.0002925 34.0323548),34.0323548,-5.0002925
node,4941858121,Pharmacie la Commune صيدلية الجماعة الجديدة,POINT (-5.0153706 34.0333816),34.0333816,-5.0153706
node,4952409023,Pharmacie Youssra صيدلية يسرى,POINT (-4.9818124 34.0293711),34.0293711,-4.9818124
node,4956435822,Pharmacie Ilyas صيدلية إلياس,POINT (-4.9876615 34.0451274),34.0451274,-4.9876615
node,4956483023,Pharmacie Bab Alghoul صيدلية باب الغول,POINT (-4.986712 34.0413437),34.0413437,-4.986712
node,4965854542,Pharmacie Marhaba صيدلية مرحبا,POINT (-4.9880236 34.0269793),34.0269793,-4.9880236
node,4968139622,Pharmacie Bahia صيدلية باهية,POINT (-4.9854877 34.0248246),34.0248246,-4.9854877
node,4970125221,Pharmacie Boughafer صيدلية بوغافر,POINT (-4.9859761 34.0222771),34.0222771,-4.9859761
node,4970428922,Pharmacie Al Farabi صيدلية الفرابي,POINT (-5.0206543 34.0369228),34.0369228,-5.0206543
node,4971325222,Pharmacie Zakaria صيدلية زكرياء,POINT (-5.0180415 34.0248226),34.0248226,-5.0180415
node,4973828925,Pharmacie Chaymae صيدلية شيماء,POINT (-5.0585174 34.0324461),34.0324461,-5.0585174
node,4974972222,Pharmacie Ibn Haitam صيدلية بن الهيثم,POINT (-4.9830509 34.0211705),34.0211705,-4.9830509
node,4996666434,Pharmacie El Azhar صيدلية الأزهر,POINT (-5.0126464 34.0191682),34.0191682,-5.0126464
node,5007363922,Pharmacie Ibn Al Hassan صيدلية ابن الحسن,POINT (-5.0049131 34.0605169),34.0605169,-5.0049131
node,5020266326,Pharmacie Iraqi Karima صيدلية عراقي كريمة,POINT (-5.0025925 34.0206327),34.0206327,-5.0025925
node,5022123421,Pharmacie Al Ambra  صيدلية العنبرة,POINT (-4.9995074 34.0227833),34.0227833,-4.9995074
node,5025460621,Pharmacie Al Irfane صيدلية العرفان,POINT (-5.0048856 34.0175081),34.0175081,-5.0048856
node,5039588521,Pharmacie Amal Achifae صيدلية أمل الشفاء,POINT (-5.0546196 34.0303207),34.0303207,-5.0546196
node,5041522724,Pharmacie Mil Roses صيدلية ألف زهرة,POINT (-4.9968158 34.0149962),34.0149962,-4.9968158
node,5043818724,Pharmacie Badr صيدلية بدر,POINT (-5.0167602 34.0215987),34.0215987,-5.0167602
node,5043819141,Pharmacie Azzahrae صيدلية الزهراء,POINT (-5.0235395 34.0202531),34.0202531,-5.0235395
node,5043839331,Pharmacie Agdal صيدلية أكدال,POINT (-5.0205636 34.0214796),34.0214796,-5.0205636
node,5054002331,Pharmacie Labaraka صيدلية البركة,POINT (-5.0152133 34.0189521),34.0189521,-5.0152133
node,5054019822,Pharmacie Ennassiri صيدلية الناصري,POINT (-5.0210753 34.0233883),34.0233883,-5.0210753
node,5055972121,Pharmacie Omari صيدلية عماري,POINT (-5.0063514 34.0268791),34.0268791,-5.0063514
node,5081200223,Pharmacie Demnati صيدلية الدمناتي,POINT (-5.0303522 34.0207935),34.0207935,-5.0303522
node,5084491622,Pharmacie Platanes صيدلية السيجان,POINT (-5.00755 34.0043523),34.0043523,-5.00755
node,5085452623,Pharmacie de l'Atlas صيدلية الأطلس,POINT (-4.9948294 34.0318989),34.0318989,-4.9948294
node,5100489621,Pharmacie Afifa صيدلية عفيفة,POINT (-5.0091718 34.0234473),34.0234473,-5.0091718
